data,produto,categoria,quantidade,valor
2025-01-15,Notebook Dell,Eletrônicos,2,8400.00
2025-01-16,Mouse Logitech,Acessórios,5,450.00
2025-01-17,Teclado Mecânico,Acessórios,3,1200.00
2025-01-18,Monitor LG,Eletrônicos,1,2200.00
2025-01-20,Cadeira Gamer,Móveis,1,1800.00
2025-01-22,Notebook Dell,Eletrônicos,1,4200.00
2025-01-25,Headset HyperX,Acessórios,4,1600.00
2025-01-28,Mesa Escritório,Móveis,2,1400.00
2025-02-01,Mouse Logitech,Acessórios,8,720.00
2025-02-03,Monitor LG,Eletrônicos,2,4400.00
2025-02-05,Teclado Mecânico,Acessórios,2,800.00
2025-02-08,Webcam Logitech,Acessórios,3,750.00
2025-02-10,Notebook Dell,Eletrônicos,3,12600.00
2025-02-12,Cadeira Gamer,Móveis,2,3600.00
2025-02-15,SSD Kingston,Eletrônicos,6,1800.00
2025-02-18,Headset HyperX,Acessórios,2,800.00
2025-02-20,Mesa Escritório,Móveis,1,700.00
2025-02-22,Mouse Logitech,Acessórios,10,900.00
2025-02-25,Monitor LG,Eletrônicos,1,2200.00
2025-02-28,Webcam Logitech,Acessórios,5,1250.00
2025-03-02,Notebook Dell,Eletrônicos,2,8400.00
2025-03-05,SSD Kingston,Eletrônicos,4,1200.00
2025-03-08,Teclado Mecânico,Acessórios,4,1600.00
2025-03-10,Cadeira Gamer,Móveis,3,5400.00
2025-03-12,Mouse Logitech,Acessórios,7,630.00
2025-03-15,Monitor LG,Eletrônicos,2,4400.00
2025-03-18,Headset HyperX,Acessórios,3,1200.00
2025-03-20,Mesa Escritório,Móveis,2,1400.00
2025-03-22,Webcam Logitech,Acessórios,4,1000.00
2025-03-25,Notebook Dell,Eletrônicos,1,4200.00
